,2014,2015,2016,2017,2018,2019,2020,2021
122,6123,-1,-1,-1,-1,-1,-1,-1
123,1522,3704,-1,-1,-1,-1,-1,-1
124,11336,18906,34988,-1,-1,-1,-1,-1
125,14376,30538,-1,-1,-1,-1,-1,-1
126,2916,-1,-1,-1,-1,-1,-1,-1
127,472,1000,-1,-1,-1,-1,-1,-1
128,4521,9286,-1,-1,-1,-1,-1,-1
129,4054,-1,-1,-1,-1,-1,-1,-1
130,128,-1,-1,-1,-1,-1,-1,-1
131,282,4456,-1,-1,-1,-1,-1,-1
132,1086,-1,-1,-1,-1,-1,-1,-1
133,2102,4306,-1,-1,-1,-1,-1,-1
134,9134,-1,-1,-1,-1,-1,-1,-1
135,3019,7650,-1,-1,-1,-1,-1,-1
136,3229,-1,-1,-1,-1,-1,-1,-1
137,2071,-1,-1,-1,-1,-1,-1,-1
138,329,4350,-1,-1,-1,-1,-1,-1
139,16545,-1,-1,-1,-1,-1,-1,-1
140,3997,-1,-1,-1,-1,-1,-1,-1
141,2252,5567,11661,-1,-1,-1,-1,-1
142,2887,-1,-1,-1,-1,-1,-1,-1
143,14775,-1,-1,-1,-1,-1,-1,-1
144,3053,8113,18310,-1,-1,-1,-1,-1
145,4604,-1,-1,-1,-1,-1,-1,-1
146,2770,5272,-1,-1,-1,-1,-1,-1
147,1214,-1,-1,-1,-1,-1,-1,-1
148,263,-1,-1,-1,-1,-1,-1,-1
149,3148,6714,10505,7460,-1,-1,-1,-1
150,1520,1928,4856,-1,-1,-1,-1,-1
151,392,5655,-1,-1,-1,-1,-1,-1
152,1326,2675,-1,-1,-1,-1,-1,-1
153,138,4964,-1,-1,-1,-1,-1,-1
154,2673,3786,2637,7460,-1,-1,-1,-1
155,1879,-1,-1,-1,-1,-1,-1,-1
156,500,-1,-1,-1,-1,-1,-1,-1
157,3098,-1,-1,-1,-1,-1,-1,-1
158,249,5910,18849,-1,-1,-1,-1,-1
159,1174,2642,5654,-1,-1,-1,-1,-1
160,321,-1,-1,-1,-1,-1,-1,-1
161,2055,-1,-1,-1,-1,-1,-1,-1
162,636,-1,-1,-1,-1,-1,-1,-1
163,356,-1,-1,-1,-1,-1,-1,-1
164,17254,-1,-1,-1,-1,-1,-1,-1
165,6083,-1,-1,-1,-1,-1,-1,-1
166,17359,-1,-1,-1,-1,-1,-1,-1
167,1838,8673,-1,-1,-1,-1,-1,-1
168,1145,1989,-1,-1,-1,-1,-1,-1
169,3481,-1,-1,-1,-1,-1,-1,-1
170,9060,16419,26051,36446,-1,-1,-1,-1
