,2014x,2014y,2015x,2015y,2016x,2016y,2017x,2017y,2018x,2018y,2019x,2019y,2020x,2020y,2021x,2021y
62,2763,8484,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,2767,5048,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,2779,3072,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,2785,1729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
66,2819,4584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,2827,3770,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
68,2837,5008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,2839,4052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,2843,3904,2761,3934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,2851,6276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
72,2881,1620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
73,2889,5870,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
74,2895,1706,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75,2895,2701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
76,2907,1861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
77,2951,3870,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
78,2967,2224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
79,2991,4474,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80,2995,3930,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
81,3025,6854,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,3027,3460,2955,3466,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,3053,4550,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
84,3063,3140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
85,3065,6147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,3071,4402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,3077,6434,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
88,3083,4026,3009,4040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,3110,4606,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
90,3121,6942,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,3137,2525,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,3149,1814,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,3163,9384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
94,3169,5106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,3173,4252,3117,4290,3074,4234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
96,3204,2364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
97,3229,3486,3169,3494,3089,3450,3093,3550,-1,-1,-1,-1,-1,-1,-1,-1
98,3263,2428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,3350,2382,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
